Application_id,Submission_date,District_id,District_name,Proposed_use,max_storeys,residential_units,non_residential_gfa_m2,inside_mtsa,mtsa_corridor,Distance to Transit (meter),approval_score,synthetic_approval,,,,
SPM 22 107,7/29/2022,1,Lakeview / Port Credit,General Retail Commercial,2,0,158.38,1,Dundas BRT,72,90,1,,,,
SP 22 10,1/19/2022,5,Malton / Northeast,General Retail Commercial,6,0,10175,0,Not within a Major Transit Station Area.,176,60,1,,,,
SP 22 103,7/20/2022,1,Lakeview / Port Credit,Residential Townhouses,3,70,0,0,Not within a Major Transit Station Area.,246,65,0,,,,
SP 23 2,1/17/2023,9,Meadowvale Village,Residential Townhouses; Residential Apartments,12,212,0,0,Not within a Major Transit Station Area.,70,75,1,,,MTSA,Major Transit Sation Area
OZ/OPA 22 5,1/31/2022,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,,42,150,1,Hurontario LRT,60,98,1,,,GFA,Gross Floor Area. The total floor area of a building measured from external walls
OZ 17 7,6/1/2017,3,Rathwood / Applewood,General Retail Commercial,,0,1255,1,403 BRT,45,90,1,,,,
OZ 25 19,9/5/2025,1,Lakeview / Port Credit,Residential Apartments,,96,0,1,Hurontario LRT,70,90,1,,,,
SP 23 4,1/25/2023,2,Port Credit / Clarkson,Office; Industrial General,2,0,39500,0,Not within a Major Transit Station Area.,130,55,1,,,,
OZ/OPA 22 24,11/8/2022,7,Meadowvale,Residential Apartments; General Retail Commercial; Community/Cultural,,520,1159.47,1,Hurontario LRT,47,100,1,,,,
SP 20 102,9/11/2020,11,Streetsville,Residential Apartments,4,43,0,0,Not within a Major Transit Station Area.,397,65,1,,,,
SP 20 6,1/8/2020,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,65,1309,1664,1,Hurontario LRT,88,100,1,,,,
SP 25 49,9/19/2025,3,Rathwood / Applewood,Residential Townhouses,,96,0,0,Not within a Major Transit Station Area.,120,65,0,,,,
SP 25 23,4/9/2025,11,Streetsville,Place of Religious Assembly,,0,1118.24,0,Not within a Major Transit Station Area.,469,65,1,,,,
SP 25 28,5/12/2025,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,55,1231,1483,1,Hurontario LRT,121,100,1,,,,
SP 25 38,7/28/2025,8,Erin Mills,Place of Religious Assembly,,0,13146.52,0,Not within a Major Transit Station Area.,422,55,0,,,,
SP 22 131,9/15/2022,3,Rathwood / Applewood,Residential Townhouses; Residential Apartments; General Retail Commercial,12,496,675.5,1,Dundas BRT,78,100,1,,,,
OZ/OPA 24 14,11/21/2024,7,Meadowvale,Residential Townhouses,,6,0,1,Hurontario LRT,77,90,1,,,,
OZ/OPA 25 1,1/2/2025,3,Rathwood / Applewood,Residential Townhouses; Residential Apartments; General Retail Commercial,,592,2884.31,0,Not within a Major Transit Station Area.,136,78,1,,,,
OZ/OPA 22 22,9/21/2022,1,Lakeview / Port Credit,Residential Townhouses; Residential Apartments; General Retail Commercial,,3027,2506,1,Dundas BRT,201,100,1,,,,
21T-M  98008,10/27/1998,6,Central Erin Mills,Residential Detached,,26,0,0,Not within a Major Transit Station Area.,61,65,0,,,,
SP 24 27,9/3/2024,9,Meadowvale Village,Residential Apartments,4,22,0,0,Not within a Major Transit Station Area.,37,65,1,,,,
OZ/OPA 22 26,12/5/2022,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,,1070,3321,0,Not within a Major Transit Station Area.,83,78,1,,,,
SP 20 111,10/6/2020,2,Port Credit / Clarkson,Office,,0,1128.38,0,Not within a Major Transit Station Area.,60,65,0,,,,
SP 22 90,6/20/2022,7,Meadowvale,Residential Apartments; General Retail Commercial,,189,490,1,Dundas BRT,40,98,1,,,,
SP 25 35,7/16/2025,6,Central Erin Mills,School,,0,542,0,Not within a Major Transit Station Area.,120,65,1,,,,
SP 19 108,8/29/2019,2,Port Credit / Clarkson,Residential Other Multiples,5,75,0,1,Dundas BRT,72,90,1,,,,
SP 24 40,10/31/2024,3,Rathwood / Applewood,Office,2,0,2944,1,403 BRT,168,90,1,,,,
SP 20 129,11/17/2020,3,Rathwood / Applewood,Residential Apartments,17,265,0,0,Not within a Major Transit Station Area.,57,75,1,,,,
SP 22 40,3/23/2022,2,Port Credit / Clarkson,General Retail Commercial,1,0,296.41,0,Not within a Major Transit Station Area.,81,65,0,,,,
SP 22 114,8/17/2022,7,Meadowvale,Residential Apartments; General Retail Commercial,36,690,2288,1,Hurontario LRT,53,100,1,,,,
SP 21 69,5/6/2021,7,Meadowvale,General Retail Commercial; Automotive Service Commercial,1,0,216,0,Not within a Major Transit Station Area.,79,65,1,,,,
OZ 22 8,2/22/2022,5,Malton / Northeast,General Retail Commercial; Office,,0,1951.31,1,Kitchener GO,82,90,1,,,,
SP 22 56,4/18/2022,1,Lakeview / Port Credit,Residential Townhouses; Residential Apartments,15,357,0,1,Lakeshore BRT,353,100,1,,,,
SP 21 161,9/28/2021,5,Malton / Northeast,Industrial General,1,0,2004,0,Not within a Major Transit Station Area.,93,65,1,,,,
SP 23 1,1/10/2023,11,Streetsville,Residential Other Multiples; Office,2,2,348.84,0,Not within a Major Transit Station Area.,76,65,0,,,,
SP 25 10,2/27/2025,1,Lakeview / Port Credit,Residential Apartments,35,444,0,1,Hurontario LRT,54,95,1,,,,
OZ/OPA 25 9,4/15/2025,5,Malton / Northeast,Industrial General,,0,12289,0,Not within a Major Transit Station Area.,499,55,1,,,,
SP 25 39,7/30/2025,,,Residential Townhouses,,53,0,0,Not within a Major Transit Station Area.,495,65,0,,,,
SP 21 25,2/19/2021,1,Lakeview / Port Credit,Residential Other Multiples; Office,3,1,90.8,1,Lakeshore BRT,143,90,1,,,,
SP 25 7,2/25/2025,3,Rathwood / Applewood,Residential Apartments,10,144,0,0,Not within a Major Transit Station Area.,271,70,1,,,,
OZ/OPA 22 25,11/15/2022,8,Erin Mills,Residential Townhouses; Residential Apartments; General Retail Commercial,,703,776,0,Not within a Major Transit Station Area.,87,78,1,,,,
SP 25 16,3/11/2025,11,Streetsville,Residential Apartments,,1043,0,0,Not within a Major Transit Station Area.,141,70,1,,,,
SP 24 48,11/22/2024,5,Malton / Northeast,General Retail Commercial,6,0,1062,1,Hurontario LRT,41,95,1,,,,
SP 24 53,11/27/2024,11,Streetsville,Industrial General,1,0,8328,0,Not within a Major Transit Station Area.,188,65,0,,,,
